"fecha";"real";"pred"
2024-11-04;15245,2;13903,0115180916
2024-11-05;14778,7;15020,0681914671
2024-11-06;15303,5;15101,6909056037
2024-11-07;15170,9;15253,2911869586
2024-11-08;15033,8;14986,8600458805
2024-11-09;14474,8;13913,6623949324
2024-11-10;14032,3;14092,7778157948
2024-11-11;14452,9;14431,9009616673
2024-11-12;14345,1;14599,7357173567
2024-11-13;15225,8;14649,2917524177
2024-11-14;16495,1;15917,3811584621
2024-11-15;17658,9;17358,8848472132
2024-11-16;17129,5;17132,1846803989
2024-11-17;13517,7;14469,5239907117
2024-11-18;12642,7;12443,1666526236
2024-11-19;14035,6;13701,5805444085
2024-11-20;14825,1;14852,4129908332
2024-11-21;15235,5;15253,055858837
2024-11-22;16119,8;15515,9405825799
2024-11-23;15586,1;14504,4578346412
2024-11-24;15902,9;15195,2222319229
2024-11-25;17679,1;16550,4503613871
2024-11-26;17233,7;17018,5167879113
2024-11-27;16823,2;16496,818330942
2024-11-28;16323,6;16277,7013864316
2024-11-29;16014,3;16174,0755321678
2024-11-30;14556,5;13946,9399462947
2024-12-01;13401,2;13095,7082108558
2024-12-02;14152,5;14068,2501772326
2024-12-03;14328,4;14469,9277280438
2024-12-04;15141,7;14979,9992802443
2024-12-05;16961;16435,4223849251
2024-12-06;16978,7;16522,4153029831
2024-12-07;13639;14199,8604061248
2024-12-08;11832,4;12543,7175180989
2024-12-09;14149,1;13337,7568473935
2024-12-10;15919,1;14931,4947202459
2024-12-11;17260,1;16299,4272951132
2024-12-12;18534,4;17914,5760907834
2024-12-13;17008,5;17752,3370184839
2024-12-14;15583,2;14968,9136508836
2024-12-15;14285,6;14068,0522197783
2024-12-16;16463,7;14701,5370539007
2024-12-17;17286,6;16388,0297787967
2024-12-18;17047,8;17135,3867969312
2024-12-19;16991,1;16657,3731582095
2024-12-20;17341,5;17693,356888676
2024-12-21;14716,7;14563,6304978971
2024-12-22;13647,4;13406,5690718388
2024-12-23;16493,6;15457,9317392179
2024-12-24;14253,2;16058,2466331661
2024-12-25;11595,6;12816,7906360356
2024-12-26;14643;13409,9053033405
2024-12-27;15893;15215,2681325581
2024-12-28;15460,1;14112,9880340006
2024-12-29;14685,3;14210,4653749283
2024-12-30;16794,7;15831,705326556
2024-12-31;16634;17531,4315292377
2025-01-01;14962,9;16226,6432814379
2025-01-02;17401,4;16601,8588812208
2025-01-03;16832;16637,754967179
2025-01-04;15948;14261,7343420465
2025-01-05;15071,7;14031,4095574285
2025-01-06;17032,6;15709,1915678845
2025-01-07;17838,8;17158,3221850806
2025-01-08;18547,4;17940,0321862663
2025-01-09;18397,3;18483,1231907334
2025-01-10;18348,9;18556,4718480343
2025-01-11;16985,4;16400,0267310205
2025-01-12;16171,9;15670,1121870236
2025-01-13;18936,4;17470,9731610224
2025-01-14;19990,7;19194,1307095663
2025-01-15;20892,8;20550,5120488605
2025-01-16;21625;20430,2611868735
2025-01-17;20824,8;20678,6456634959
2025-01-18;17896,2;17733,887721001
2025-01-19;14843,4;15474,4929839034
2025-01-20;16276,6;15316,9639283123
2025-01-21;17884,2;16590,4426077678
2025-01-22;20100;19453,9906356489
2025-01-23;21199;20773,8164313951
2025-01-24;20301,1;20248,3853724378
2025-01-25;17917,6;17712,0700393268
2025-01-26;17016,3;16809,2121539959
2025-01-27;19209,5;17483,1995685718
2025-01-28;18950,6;18675,5419715746
2025-01-29;19168,9;18504,2307178009
2025-01-30;20102,5;18756,884474541
2025-01-31;20222,9;19148,8537899891
2025-02-01;19043,2;17881,601961127
2025-02-02;18753,1;18013,0659917295
2025-02-03;22246,6;19487,712430492
2025-02-04;21090,3;20718,460990996
2025-02-05;19326,5;20093,6536694264
2025-02-06;19311,7;18871,5167887298
2025-02-07;20497,8;19944,7258057697
2025-02-08;20254,7;19977,5462434401
